,date,incident_info,mean_temperature,min_temperature,max_temperature,total_precipitation,snow_on_ground
1903,2024-01-06,10,-5.1,-9.7,-0.5,0.6,0.0
1904,2024-01-07,16,-14.3,-19.0,-9.6,0.7,1.0
1905,2024-01-08,25,-11.8,-21.3,-2.2,0.0,6.0
1906,2024-01-09,17,-7.9,-15.5,-0.3,1.1,5.0
1907,2024-01-10,49,-19.9,-24.6,-15.3,2.8,11.0
1908,2024-01-11,43,-28.5,-32.4,-24.6,0.3,11.0
1909,2024-01-12,20,-33.6,-36.1,-31.1,0.0,10.0
1910,2024-01-13,20,-31.6,-36.4,-26.8,0.0,10.0
1911,2024-01-14,31,-31.9,-36.8,-27.0,0.0,10.0
1912,2024-01-15,24,-21.6,-34.4,-8.8,0.0,10.0
1913,2024-01-16,46,-10.7,-15.2,-6.3,2.0,10.0
1914,2024-01-17,45,-16.7,-18.4,-15.0,4.5,13.0
1915,2024-01-18,37,-20.2,-24.9,-15.5,0.1,16.0
1916,2024-01-19,46,-21.2,-26.7,-15.6,0.0,15.0
1917,2024-01-20,12,-11.5,-15.6,-7.3,0.0,15.0
1918,2024-01-21,11,-12.5,-13.3,-11.7,0.0,15.0
1919,2024-01-22,14,-13.3,-14.5,-12.2,0.1,14.0
1920,2024-01-23,26,-2.5,-12.3,7.3,0.0,14.0
1921,2024-01-24,24,-0.8,-7.2,5.6,0.0,14.0
1922,2024-01-25,12,4.2,0.2,8.2,0.0,14.0
1923,2024-01-26,28,2.3,-4.1,8.6,0.0,13.0
1924,2024-01-27,20,2.2,-6.4,10.8,0.0,13.0
1925,2024-01-28,16,4.6,-1.5,10.8,0.0,11.0
1926,2024-01-29,23,3.8,-1.0,8.5,0.0,9.0
1927,2024-01-30,25,8.0,1.5,14.5,0.0,9.0
1928,2024-01-31,28,2.3,-3.8,8.5,0.0,7.0
1929,2024-02-01,27,6.8,0.8,12.7,0.0,6.0
1930,2024-02-02,17,5.4,-1.9,12.6,0.0,4.0
1931,2024-02-03,9,0.9,-3.1,5.0,0.7,1.0
1932,2024-02-04,32,-5.1,-7.5,-2.6,6.8,0.0
1933,2024-02-05,18,-6.7,-11.8,-1.6,0.0,3.0
1934,2024-02-06,15,-7.4,-8.6,-6.2,0.2,3.0
1935,2024-02-07,20,-7.6,-8.2,-7.0,0.8,3.0
1936,2024-02-08,12,-6.1,-7.8,-4.3,0.2,5.0
1937,2024-02-09,14,-7.3,-11.4,-3.1,0.5,13.0
1938,2024-02-10,21,-5.8,-16.7,5.2,0.0,11.0
1939,2024-02-11,6,-1.2,-4.9,2.5,0.0,10.0
1940,2024-02-12,21,-2.9,-8.3,2.5,0.0,9.0
1941,2024-02-13,19,-9.0,-14.2,-3.8,0.0,9.0
1942,2024-02-14,15,-10.4,-16.2,-4.5,0.0,9.0
1943,2024-02-15,19,-13.2,-18.2,-8.2,0.0,9.0
1944,2024-02-16,18,-7.8,-19.3,3.7,0.0,9.0
1945,2024-02-17,14,-3.2,-12.6,6.2,0.0,8.0
1946,2024-02-18,7,-4.6,-13.7,4.5,0.0,8.0
1947,2024-02-19,7,-3.9,-12.4,4.6,0.0,9.0
1948,2024-02-20,10,-0.6,-8.3,7.0,0.0,8.0
1950,2024-02-22,18,2.2,-5.8,10.3,0.0,4.0
1951,2024-02-23,15,6.9,3.4,10.4,0.0,1.0
1952,2024-02-24,10,-0.2,-4.5,4.0,0.2,0.0
1953,2024-02-25,18,-1.8,-8.1,4.5,0.0,0.0
1954,2024-02-26,23,-12.6,-21.1,-4.0,0.0,0.0
1955,2024-02-27,29,-19.8,-22.5,-17.1,0.7,0.0
1956,2024-02-28,18,-8.4,-19.4,2.7,0.0,1.0
1957,2024-02-29,35,-0.5,-10.8,9.7,1.3,0.0
1958,2024-03-01,25,-11.6,-13.8,-9.4,0.7,1.0
1959,2024-03-02,50,-16.8,-20.3,-13.2,4.8,4.0
1960,2024-03-03,22,-21.4,-26.2,-16.7,0.0,18.0
1961,2024-03-04,35,-18.9,-21.4,-16.3,0.0,13.0
1962,2024-03-05,34,-18.2,-25.6,-10.7,0.0,11.0
1963,2024-03-06,66,-14.1,-20.0,-8.3,0.1,11.0
1964,2024-03-07,28,-9.5,-21.2,2.2,0.0,11.0
1965,2024-03-08,18,-2.1,-11.1,6.8,0.0,10.0
1966,2024-03-09,11,3.9,-2.0,9.8,0.0,4.0
1967,2024-03-10,8,2.7,-4.3,9.7,0.0,3.0
1968,2024-03-11,21,1.6,-6.0,9.1,0.0,0.0
1969,2024-03-12,16,4.3,-1.1,9.7,0.0,0.0
1970,2024-03-13,23,1.3,-3.6,6.1,0.0,0.0
1971,2024-03-14,29,2.6,-4.8,10.0,0.0,0.0
1972,2024-03-15,23,6.0,-0.1,12.1,0.0,0.0
1973,2024-03-16,11,5.9,-1.7,13.5,0.0,0.0
1974,2024-03-17,15,6.3,-3.2,15.7,0.0,1.0
1975,2024-03-18,17,9.2,2.3,16.0,0.0,0.0
1976,2024-03-19,15,1.3,-3.2,5.8,0.1,0.0
1977,2024-03-20,49,-6.3,-9.6,-3.0,11.1,8.0
1978,2024-03-21,19,-7.3,-10.1,-4.4,2.8,15.0
1979,2024-03-22,24,-8.3,-10.0,-6.7,1.2,15.0
1980,2024-03-23,16,-9.2,-10.3,-8.1,0.7,17.0
1981,2024-03-24,6,-8.3,-10.6,-5.9,0.0,16.0
1982,2024-03-25,18,-10.6,-13.7,-7.6,0.0,10.0
1983,2024-03-26,17,-5.9,-9.2,-2.7,0.0,10.0
1984,2024-03-27,26,-0.3,-7.0,6.5,0.0,9.0
1985,2024-03-28,12,-2.5,-6.7,1.7,0.3,5.0
1986,2024-03-29,12,-7.7,-10.3,-5.0,3.5,7.0
1987,2024-03-30,10,-7.8,-13.8,-1.8,0.0,9.0
1988,2024-03-31,10,-1.1,-6.9,4.8,0.0,8.0
1989,2024-04-01,10,4.3,-1.7,10.2,0.0,5.0
1990,2024-04-02,14,8.0,-1.7,17.7,0.0,0.0
1991,2024-04-03,17,6.1,1.5,10.8,0.0,0.0
1992,2024-04-04,9,0.6,-1.2,2.4,9.8,0.0
1993,2024-04-05,27,-1.0,-2.2,0.3,4.1,17.0
1994,2024-04-06,9,1.5,-1.4,4.5,0.0,12.0
1995,2024-04-07,7,5.5,0.1,10.8,0.0,6.0
1996,2024-04-08,5,6.3,-0.1,12.6,0.0,0.0
1997,2024-04-09,19,5.2,-3.1,13.4,0.0,0.0
1998,2024-04-10,15,2.9,-4.6,10.5,0.0,0.0
1999,2024-04-11,19,5.6,-2.7,13.9,0.0,0.0
2000,2024-04-12,15,8.3,1.2,15.3,0.0,0.0
2001,2024-04-13,13,8.0,-1.6,17.7,0.0,0.0
2002,2024-04-14,13,7.6,-2.0,17.2,0.0,0.0
2003,2024-04-15,11,8.9,1.2,16.5,0.5,0.0
2004,2024-04-16,23,-0.6,-2.3,1.2,9.8,5.0
2005,2024-04-17,19,-0.8,-3.3,1.7,0.0,6.0
2006,2024-04-18,19,-1.2,-5.2,2.8,0.0,4.0
2007,2024-04-19,25,-1.4,-7.0,4.1,0.0,0.0
2008,2024-04-20,15,1.5,-7.3,10.4,0.0,0.0
2009,2024-04-21,5,5.3,-2.4,13.0,0.0,0.0
2010,2024-04-22,17,8.5,1.9,15.0,0.0,0.0
2011,2024-04-23,26,7.6,-2.0,17.2,0.0,0.0
2012,2024-04-24,21,8.3,-1.1,17.6,0.0,0.0
2013,2024-04-25,12,8.6,0.6,16.7,0.0,0.0
2014,2024-04-26,15,4.6,2.0,7.1,0.3,0.0
